"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,12,"ARG","Argentina",1,"Buenos Aires","Provincia","Province",NA,"Baires|Buenos Ayres"
2,12,"ARG","Argentina",2,"Córdoba","Provincia","Province",NA,"Cordova"
3,12,"ARG","Argentina",3,"Catamarca","Provincia","Province",NA,NA
4,12,"ARG","Argentina",4,"Chaco","Provincia","Province",NA,"El Chaco|Presidente Juan Peron"
5,12,"ARG","Argentina",5,"Chubut","Provincia","Province",NA,NA
6,12,"ARG","Argentina",6,"Ciudad de Buenos Aires","Distrito Federal","Federal District",NA,"BUENOS AIRES D.F.|Capital Federal|Distretto Federale|Distrito Federal|Federal Capital"
7,12,"ARG","Argentina",7,"Corrientes","Provincia","Province",NA,NA
8,12,"ARG","Argentina",8,"Entre Ríos","Provincia","Province",NA,"Entre-Rios"
9,12,"ARG","Argentina",9,"Formosa","Provincia","Province",NA,NA
10,12,"ARG","Argentina",10,"Jujuy","Provincia","Province",NA,NA
11,12,"ARG","Argentina",11,"La Pampa","Provincia","Province",NA,"El Pampa|Eva Perón"
12,12,"ARG","Argentina",12,"La Rioja","Provincia","Province",NA,NA
13,12,"ARG","Argentina",13,"Mendoza","Provincia","Province",NA,NA
14,12,"ARG","Argentina",14,"Misiones","Provincia","Province",NA,"Missões"
15,12,"ARG","Argentina",15,"Neuquén","Provincia","Province",NA,"Neuquén"
16,12,"ARG","Argentina",16,"Río Negro","Provincia","Province",NA,NA
17,12,"ARG","Argentina",17,"Salta","Provincia","Province",NA,NA
18,12,"ARG","Argentina",18,"San Juan","Provincia","Province",NA,NA
19,12,"ARG","Argentina",19,"San Luis","Provincia","Province",NA,NA
20,12,"ARG","Argentina",20,"Santa Cruz","Provincia","Province",NA,NA
21,12,"ARG","Argentina",21,"Santa Fe","Provincia","Province",NA,"Santa Fé"
22,12,"ARG","Argentina",22,"Santiago del Estero","Provincia","Province",NA,NA
23,12,"ARG","Argentina",23,"Tierra del Fuego","Territorio Nacional|Provincia","National Territory",NA,"Feuerland|Terra del Fuoco|Terre de Feu|Terra do Fogo|Tierra del Fuego|Antártida e Islas del Atlántico Sur"
24,12,"ARG","Argentina",24,"Tucumán","Provincia","Province",NA,"Tucumão"
